Name ,Category ,Team Name 
Kunal Patni ,Mentor ,Andhra Bullets
Mandan Kumar,Pro,Andhra Bullets
Rajat Sharma,Pro ,Andhra Bullets
Sparrow Cheung,Wildcard,Andhra Bullets
Danny Tang,Wildcard,Andhra Bullets
Aditya Kumar ,Online Qualifier,Andhra Bullets
Anik Ajmera,Online Qualifier,Andhra Bullets
Jeevendra Arora ,Online Qualifier,Andhra Bullets
Chiraag Patel,Live Qualifier   ,Andhra Bullets
Avadh Shah,Live Qualifier   ,Andhra Bullets
Aditya Sushant,Mentor ,Bangaluru Warriors
Jaideep Sajwan,Pro,Bangaluru Warriors
Ratul Steves ,Pro ,Bangaluru Warriors
Ashish Munot ,Wildcard,Bangaluru Warriors
Arsh Grover ,Wildcard,Bangaluru Warriors
Varun Gupta,Online Qualifier,Bangaluru Warriors
Gokul Raj,Online Qualifier,Bangaluru Warriors
Sandeep Thakral ,Online Qualifier,Bangaluru Warriors
Bhargav Bandi ,Live Qualifier   ,Bangaluru Warriors
Sagar Choudhury ,Live Qualifier ,Bangaluru Warriors
Kanishka Samant,Mentor ,Chennai Thalaivas 
Manoj Pentakota,Pro,Chennai Thalaivas 
Deepak Bothra ,Pro ,Chennai Thalaivas 
Kalyan C,Wildcard,Chennai Thalaivas 
Bobby Zhang ,Wildcard,Chennai Thalaivas 
Rohit Behal,Online Qualifier ,Chennai Thalaivas 
Praveen Anguru ,Online Qualifier ,Chennai Thalaivas 
Pushpak Bhatia,Online Qualifier ,Chennai Thalaivas 
Ragesh ,Live Qualifier   ,Chennai Thalaivas 
Vikas Jethnani,Live Qualifier ,Chennai Thalaivas 
Akash Malik,Mentor ,Delhi Panthers 
Vinod Megalmani,Pro,Delhi Panthers 
Shashank Jain,Pro ,Delhi Panthers 
Martin Jacobson,Wildcard,Delhi Panthers 
Terry Fan,Wildcard,Delhi Panthers 
Prashant Bhutoria,Online Qualifier ,Delhi Panthers 
Prabhakaran S,Online Qualifier ,Delhi Panthers 
Niharika Bindra,Online Qualifier ,Delhi Panthers 
Akshay Nasa,Live Qualifier   ,Delhi Panthers 
Vaibhav Sharma,Live Qualifier ,Delhi Panthers 
Dhaval Mudgal,Mentor,Goan Nuts
Abhinav Iyer,Pro,Goan Nuts
Aman Dhamija ,Pro ,Goan Nuts
Dylan Linde,Wildcard,Goan Nuts
Kevin Macphee ,Wildcard,Goan Nuts
Pranay Chawla ,Online Qualifier ,Goan Nuts
Pranav Khandalkar,Online Qualifier ,Goan Nuts
Kshitij Kucheria ,Online Qualifier ,Goan Nuts
Siddharth Karia ,Live Qualifier   ,Goan Nuts
Firoz Khan,Live Qualifier ,Goan Nuts
Romit Advani,Mentor ,Gujrat Falcons 
Zarvan Tumboli,Pro,Gujrat Falcons 
Jaydeep Dawer,Pro ,Gujrat Falcons 
Ioannis A. Konstas,Wildcard,Gujrat Falcons 
Eka Vedantham ,Wildcard,Gujrat Falcons 
Mayank Jain,Online Qualifier ,Gujrat Falcons 
Ram Kakkar,Online Qualifier ,Gujrat Falcons 
Naman Khettry,Online Qualifier ,Gujrat Falcons 
Ankit Takle ,Live Qualifier   ,Gujrat Falcons 
Loveleen Singh,Live Qualifier ,Gujrat Falcons 
Sumit Asrani ,Mentor ,Kolkata Kings
Sahil Agarwal,Pro,Kolkata Kings
Sangeeth Mohan,Pro ,Kolkata Kings
Raman Gujral,Wildcard,Kolkata Kings
Samay Parikh,Wildcard,Kolkata Kings
Vinayak Bajaj,Online Qualifier ,Kolkata Kings
Jagjot Singh Pangli ,Online Qualifier ,Kolkata Kings
Anish Garg ,Online Qualifier ,Kolkata Kings
Rohan Singh,Live Qualifier   ,Kolkata Kings
Himanshu Arora,Live Qualifier ,Kolkata Kings
Amit Jain ,Mentor ,Mumbai Anchors
Nishant Sharma,Pro,Mumbai Anchors
Alok Birewar,Pro ,Mumbai Anchors
Haresh Kukreja,Wildcard,Mumbai Anchors
Danish Shaikh ,Wildcard,Mumbai Anchors
Avinash Tauro,Online Qualifier ,Mumbai Anchors
Biswadip Chowdhury ,Online Qualifier ,Mumbai Anchors
Honey Bijlani,Online Qualifier ,Mumbai Anchors
Gaurav Gupta,Live Qualifier   ,Mumbai Anchors
Rajesh Rajpopat,Live Qualifier ,Mumbai Anchors
Raghav Bansal ,Mentor ,Pune Sharks
Sharad Rao,Pro,Pune Sharks
Kartik Ved,Pro ,Pune Sharks
Alan Lau ,Wildcard,Pune Sharks
Gerald Karlic ,Wildcard,Pune Sharks
Dhawal Lachhwani ,Online Qualifier ,Pune Sharks
Amit Gupta ,Online Qualifier ,Pune Sharks
Aditya Degala ,Online Qualifier ,Pune Sharks
Myron Pereira,Live Qualifier   ,Pune Sharks
Aryan Chaudhary,Live Qualifier ,Pune Sharks
Abhishek Goindi,Mentor ,Punjab Bluffers
Sumit Sapra,Pro,Punjab Bluffers
Paawan Bansal ,Pro ,Punjab Bluffers
Akira Ohyama,Wildcard,Punjab Bluffers
Jordan Westmorland ,Wildcard,Punjab Bluffers
Yuvraj Chaudhary,Online Qualifier ,Punjab Bluffers
Abhishek Garg,Online Qualifier ,Punjab Bluffers
Rohan Rishi,Online Qualifier ,Punjab Bluffers
Gaurav Sood,Live Qualifier   ,Punjab Bluffers
Ankit Wadhawan,Live Qualifier ,Punjab Bluffers
Shravan Chhabria,Mentor ,Rajasthan Titlers
Siddharth Singhvi,Pro,Rajasthan Titlers
Vaibhav Sharma,Pro ,Rajasthan Titlers
Sriharsha D.,Wildcard,Rajasthan Titlers
Sahil Chutani,Wildcard,Rajasthan Titlers
Sajal Gupta,Online Qualifier ,Rajasthan Titlers
Banmanlang Lyndem,Online Qualifier ,Rajasthan Titlers
Sai Siddharth,Online Qualifier ,Rajasthan Titlers
Sanjay Taneja,Live Qualifier   ,Rajasthan Titlers
Saumil Krishnani,Live Qualifier ,Rajasthan Titlers
