City,Venue,Tournament Name,Date,No of Entries,Winnings
NCR,Adda52.com,PSL Qualifier NCR-11,4/3/2017 20:00,100,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-12,4/4/2017 20:00,100,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-13,4/5/2017 20:00,100,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-14,4/6/2017 20:00,100,Top 20%
Goa,"Deltin Royale, Panaji",PSL Qualifier GOA-4,4/7/2017 17:00,80,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-15,4/7/2017 20:00,100,Top 20%
Mumbai,"The Shalimar Hotel, August Kranti Marg",PSL Qualifier MUM-3,4/8/2017 10:30,200,Top 20%
Kolkata,"Turn n Riva Poker Club, Sarat Bose Road",PSL Qualifier KOL-5,4/8/2017  14:00:00 PM,100,Top 20%
Mumbai,"The Shalimar Hotel, August Kranti Marg",PSL Qualifier MUM-4,4/9/2017 10:30,200,Top 20%
Kolkata,"Turn n Riva Poker Club, Sarat Bose Road",PSL Qualifier KOL-6,4/9/2017  14:00:00 PM,100,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-16,4/10/2017 20:00,100,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-17,4/11/2017 20:00,100,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-18,4/12/2017 20:00,100,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-19,4/13/2017 20:00,100,Top 20%
Goa,"Deltin Royale, Panaji",PSL Qualifier GOA-5,4/14/2017 17:00,80,Top 20%
NCR,Adda52.com,PSL Qualifier NCR-20,4/14/2017 20:00,100,Top 20%
Ahmedabad,"APA, Club O7, SP Ring Road, Shela Gam",PSL Qualifier AHM-5,4/15/2017 14:00,120,Top 20%
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-11,4/15/2017 14:00,120,Top 20%
Ahmedabad,"APA, Club O7, SP Ring Road, Shela Gam",PSL Qualifier AHM-6,4/16/2017 14:00,120,Top 20%
Bengaluru,"Orion Poker Club, St. Marks Road",PSL Qualifier BLR-12,4/16/2017 14:00,120,Top 20%
